created_at,entry_id,x,y,z,is_collision,batch_id
2025-01-09T03:39:33+00:00,132,-1.26,0.86,-9.14,0,851437
2025-01-09T03:39:51+00:00,133,-2.24,0.43,-8.83,0,851437
2025-01-09T03:40:15+00:00,134,-2.08,0.86,-8.87,0,430433
2025-01-09T03:40:33+00:00,135,-1.84,0.55,-8.63,0,430433
2025-01-09T03:40:50+00:00,136,-2.51,0.63,-8.67,0,430433
2025-01-09T03:41:08+00:00,137,-2.9,0.31,-8.24,0,430433
2025-01-09T03:41:25+00:00,138,-2.47,1.49,-9.3,0,430433
2025-01-09T03:41:50+00:00,139,-2.04,2,-9.45,0,647292
2025-01-09T03:42:08+00:00,140,-2.9,0.82,-7.81,0,647292
2025-01-09T03:42:25+00:00,141,-1.45,1.02,-8.94,0,647292
2025-01-09T03:42:42+00:00,142,-2.28,0.24,-8.98,0,647292
2025-01-09T03:42:59+00:00,143,-2.63,0,-9.34,0,647292
2025-01-09T03:43:24+00:00,144,-1.02,1.02,-9.18,0,353387
2025-01-09T03:43:41+00:00,145,-1.88,1.29,-10.87,0,353387
2025-01-09T03:43:59+00:00,146,-3.18,-0.71,-8.47,0,353387
2025-01-09T03:44:16+00:00,147,-2.63,0.86,-8.79,0,353387
2025-01-09T03:44:33+00:00,148,-2.12,0.63,-9.02,0,353387
2025-01-09T06:45:39+00:00,149,-4.71,-0.04,-7.81,0,927924
2025-01-09T06:45:56+00:00,150,-4.71,-0.04,-7.77,0,927924
2025-01-09T06:46:18+00:00,151,-4.71,0,-7.85,0,927924
2025-01-09T06:46:37+00:00,152,-4.71,-0.08,-8,0,927924
2025-01-09T06:46:55+00:00,153,-5.33,-0.24,-7.69,0,927924
2025-01-09T06:47:40+00:00,154,-7.34,-1.14,5.45,0,180531
2025-01-09T06:47:59+00:00,155,-6.98,-1.18,6.12,0,180531
2025-01-09T06:48:16+00:00,156,-6.32,-1.37,7.34,0,180531
2025-01-09T06:49:38+00:00,157,0.86,-1.84,-9.18,0,337777
2025-01-09T06:49:56+00:00,158,0.16,0.08,-9.85,0,337777
2025-01-09T06:50:13+00:00,159,0.35,0.78,-9.26,0,337777
2025-01-09T06:50:37+00:00,160,-0.08,0.67,-9.26,0,665775
2025-01-09T06:50:56+00:00,161,-0.2,0.55,-9.22,0,665775
2025-01-09T06:51:13+00:00,162,-0.67,-1.29,-9.22,0,665775
2025-01-09T06:51:30+00:00,163,-0.27,1.53,-9.22,0,665775
2025-01-09T06:51:47+00:00,164,-3.49,0.16,-10.2,0,665775
2025-01-09T06:52:11+00:00,165,0.55,-0.78,-8.2,0,877164
2025-01-09T06:52:35+00:00,166,-1.41,0.24,-8.98,0,810174
2025-01-09T06:52:53+00:00,167,-1.37,0.27,-9.02,0,810174
2025-01-09T06:53:10+00:00,168,-1.41,0.2,-9.06,0,810174
2025-01-09T06:53:27+00:00,169,-1.45,0.24,-9.1,0,810174
